KONTAINER;PERIODE;AWAL;AKHIR; TAGIHAN ;NoTagihan;Tgl. Tagihan;No. Bayar;Tgl. Bayar;;;;;Impor;Pranota;Bayar
AMFU3170513;1;21 Apr 25;20 May 25; 675.676,00 ;ZONA250528250;21 May 25;EBK250600289;26 Jun 25;;;;;"AMFU3170513;1;45768;45797;675676;ZONA250528250;45798";"ZONA250528250;45798;SKT2506000001;45834;675676";"SKT2506000001;45834;EBK250600289;45834;675676"
APHU6028070;1;10 Jan 24;09 Feb 24; 1.261.261,00 ;ZONA240122254;11 Jan 24;EBK240500055;21 May 24;;;;;"APHU6028070;1;45301;45331;1261261;ZONA240122254;45302";"ZONA240122254;45302;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
APHU6028070;10;10 Oct 24;09 Nov 24; 1.261.261,00 ;ZONA241125956;20 Nov 24;EBK250100275;30 Jan 25;;;;;"APHU6028070;10;45575;45605;1261261;ZONA241125956;45616";"ZONA241125956;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
APHU6028070;11;10 Nov 24;09 Dec 24; 1.261.261,00 ;ZONA241226543;28 Dec 24;EBK250100275;30 Jan 25;;;;;"APHU6028070;11;45606;45635;1261261;ZONA241226543;45654";"ZONA241226543;45654;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
APHU6028070;2;10 Feb 24;09 Mar 24; 1.261.261,00 ;ZONA240322927;20 Mar 24;EBK240500055;21 May 24;;;;;"APHU6028070;2;45332;45360;1261261;ZONA240322927;45371";"ZONA240322927;45371;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
APHU6028070;4;10 Apr 24;09 May 24; 1.261.261,00 ;ZONA240523407;03 May 24;EBK240500209;20 May 24;;;;;"APHU6028070;4;45392;45421;1261261;ZONA240523407;45415";"ZONA240523407;45415;SKT2405000001;45432;1261261";"SKT2405000001;45432;EBK240500209;45432;1261261"
APHU6028070;5;10 May 24;09 Jun 24; 1.261.261,00 ;ZONA240824862;29 Sep 24;EBK250100275;30 Jan 25;;;;;"APHU6028070;5;45422;45452;1261261;ZONA240824862;45564";"ZONA240824862;45564;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
APHU6028070;6;10 Jun 24;09 Jul 24; 1.261.261,00 ;ZONA240824863;29 Aug 24;EBK250100275;30 Jan 25;;;;;"APHU6028070;6;45453;45482;1261261;ZONA240824863;45533";"ZONA240824863;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
APHU6028070;7;10 Jul 24;09 Aug 24; 1.261.261,00 ;ZONA240824864;29 Aug 24;EBK250100275;30 Jan 25;;;;;"APHU6028070;7;45483;45513;1261261;ZONA240824864;45533";"ZONA240824864;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
APHU6028070;8;10 Aug 24;09 Sep 24; 1.261.261,00 ;ZONA240824865;29 Aug 24;EBK250100275;30 Jan 25;;;;;"APHU6028070;8;45514;45544;1261261;ZONA240824865;45533";"ZONA240824865;45533;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
APHU6028070;9;10 Sep 24;09 Oct 24; 1.261.261,00 ;ZONA241125955;20 Nov 24;EBK250100275;30 Jan 25;;;;;"APHU6028070;9;45545;45574;1261261;ZONA241125955;45616";"ZONA241125955;45616;SKT2501000001;45687;1261261";"SKT2501000001;45687;EBK250100275;45687;1261261"
APHU6256249;1;08 Jan 24;07 Feb 24; 1.261.261,00 ;ZONA240122254;11 Jan 24;EBK240500055;21 May 24;;;;;"APHU6256249;1;45299;45329;1261261;ZONA240122254;45302";"ZONA240122254;45302;SKT2405000002;45433;1261261";"SKT2405000002;45433;EBK240500055;45433;1261261"
