Group;Kontainer;Awal;Akhir;Ukuran;Harga;Periode;Status;Hari;DPP;Keterangan;QTY Disc;adjustment;Pembulatan;ppn;pph;grand_total;No.InvoiceVendor;Tgl.InvVendor;No.Bank;Tgl.Bank
1;CCLU3836629;21-01-2025;20-02-2025;20;750000;1;Bulanan;31;775000;;;0;;85250;15500;844750;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;CCLU3836629;21-02-2025;20-03-2025;20;750000;2;Bulanan;28;700000;;;0;;77000;14000;763000;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
3;DPEU4869769;22-03-2025;08-04-2025;20;750000;3;Harian;18;450000;;;-112500;;37125;6750;367875;296/DPE/LL/APR/2025;23 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
4;CCLU3836629;21-04-2025;20-05-2025;20;750000;4;Bulanan;30;750000;;;0;;82500;15000;817500;304/DPE/LL/APR/2025;29 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
5;STXU2015218;22-05-2025;26-05-2025;20;750000;5;Harian;5;125000;;;0;;13750;2500;136250;416/DPE/LL/MAY/2025;26 May 25;EBK250600272;24 Jun 25
1;CBHU4077764;21-01-2025;20-02-2025;20;750000;1;Bulanan;31;775000;;;0;;85250;15500;844750;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;CBHU4077764;21-02-2025;20-03-2025;20;750000;2;Bulanan;28;700000;;;0;;77000;14000;763000;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
3;CCLU3806500;22-03-2025;09-04-2025;20;750000;3;Harian;19;475000;;;-118750;;39188;7125;388313;296/DPE/LL/APR/2025;23 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
4;CBHU4077764;21-04-2025;20-05-2025;20;750000;4;Bulanan;30;750000;;;0;;82500;15000;817500;304/DPE/LL/APR/2025;29 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
5;CBHU5914130;23-05-2025;26-05-2025;20;750000;5;Harian;4;100000;;;0;;11000;2000;109000;416/DPE/LL/MAY/2025;26 May 25;EBK250600272;24 Jun 25
6;CCLU3836629;21-06-2025;23-06-2025;20;750000;6;Harian;3;75000;;;0;;8250;1500;81750;532/DPE/LL/JUN/2025;30 Jun 25;EBK250800008;01 Aug 25
1;STXU2015218;22-01-2025;21-02-2025;20;750000;1;Bulanan;31;775000;;;0;;85250;15500;844750;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;STXU2015218;22-02-2025;21-03-2025;20;750000;2;Bulanan;28;700000;;;0;;77000;14000;763000;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
3;CSLU1004045;23-03-2025;09-04-2025;20;750000;3;Harian;18;450000;;;-112500;;37125;6750;367875;296/DPE/LL/APR/2025;23 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
4;STXU2015218;22-04-2025;21-05-2025;20;750000;4;Bulanan;30;750000;;;0;;82500;15000;817500;304/DPE/LL/APR/2025;29 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
5;CBHU4077764;21-05-2025;05-06-2025;20;750000;5;Harian;16;400000;;;0;;44000;8000;436000;416/DPE/LL/MAY/2025;26 May 25;EBK250600272;24 Jun 25
1;CCLU3806500;22-01-2025;21-02-2025;20;750000;1;Bulanan;31;775000;;;0;;85250;15500;844750;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;CCLU3806500;22-02-2025;21-03-2025;20;750000;2;Bulanan;28;700000;;;0;;77000;14000;763000;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
3;CBHU3952697;24-03-2025;09-04-2025;20;750000;3;Harian;17;425000;;;-106250;;35063;6375;347438;296/DPE/LL/APR/2025;23 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
1;DPEU4869769;22-01-2025;21-02-2025;20;750000;1;Bulanan;31;775000;;;0;;85250;15500;844750;068/DPE/LL/JAN/2025;30 Jan 25;EBK250300148;14 Mar 25
2;DPEU4869769;22-02-2025;21-03-2025;20;750000;2;Bulanan;28;700000;;;0;;77000;14000;763000;141/DPE/LL/FEB/2025;28 Feb 25;EBK250300133;12 Mar 25
3;CXDU1108080;24-03-2025;10-04-2025;20;750000;3;Harian;18;450000;;;-112500;;37125;6750;367875;296/DPE/LL/APR/2025;23 Apr 25;EBK250600121 & EBK250500170;16 Mei & 12 Jun'25
