Group;Kontainer;Awal;Akhir;Ukuran; Harga ;Periode;Status;Hari; DPP ;Keterangan; QTY Disc ; adjustment ; Pembulatan ; ppn ; pph ; grand_total ;No.InvoiceVendor;Tgl.InvVendor;No.Bank;Tgl.Bank;OK;Approval;x;Group;;;;;;;;x
Z010;BMOU2495277;07 Jun 23;06 Jul 23;20; 675.676 ;3;Bulanan;30; 675.676 ;;; -   ;; 74.324 ; 13.514 ; 736.486 ;ZONA23.07.20493;13 Jul 23;;;ok;07 Oct 25;Up;Z010;;;;;;;;
Z010;GESU2832175;07 Jun 23;06 Jul 23;20; 675.676 ;3;Bulanan;30; 675.676 ;;; -   ;; 74.324 ; 13.514 ; 736.486 ;ZONA23.07.20493;13 Jul 23;;;ok;07 Oct 25;Up;Z010;;;;;;;;
Z010;IRNU3633428;07 Jun 23;16 Jun 23;20; 675.676 ;3;Harian;10; 225.225 ;;; -   ;; 24.775 ; 4.505 ; 245.495 ;ZONA23.07.20493;13 Jul 23;;;ok;07 Oct 25;Up;Z010;;;;;;;;
Z010;MAEU6958040;07 Jun 23;16 Jun 23;20; 675.676 ;3;Harian;10; 225.225 ;;; -   ;; 24.775 ; 4.505 ; 245.495 ;ZONA23.07.20493;13 Jul 23;;;ok;07 Oct 25;Up;Z010;;;;;;;;
Z010;MSKU2158238;07 Jun 23;06 Jul 23;20; 675.676 ;3;Bulanan;30; 675.676 ;;; -   ;; 74.324 ; 13.514 ; 736.486 ;ZONA23.07.20493;13 Jul 23;;;ok;07 Oct 25;Up;Z010;;;;;;;;
Z010;MSKU3041950;07 Jun 23;17 Jun 23;20; 675.676 ;3;Harian;11; 247.748 ;;; -   ;; 27.252 ; 4.955 ; 270.045 ;ZONA23.07.20493;13 Jul 23;;;ok;07 Oct 25;Up;Z010;;;;;;;;
Z010;ZONA9900023;07 Jun 23;06 Jul 23;20; 675.676 ;3;Bulanan;30; 675.676 ;;; -   ;; 74.324 ; 13.514 ; 736.486 ;ZONA23.07.20493;13 Jul 23;;;ok;07 Oct 25;Up;Z010;;;;;;;;
Z010;CCLU2644067;08 Jun 23;07 Jul 23;20; 675.676 ;3;Bulanan;30; 675.676 ;;; -   ;; 74.324 ; 13.514 ; 736.486 ;ZONA23.07.20493;13 Jul 23;;;ok;07 Oct 25;Up;Z010;;;;;;;;
Z010;FCIU2922510;08 Jun 23;17 Jun 23;20; 675.676 ;3;Harian;10; 225.225 ;;; -   ;; 24.775 ; 4.505 ; 245.495 ;ZONA23.07.20493;13 Jul 23;;;ok;07 Oct 25;Up;Z010;;;;;;;;
Z010;BMOU2495277;07 Jul 23;06 Aug 23;20; 675.676 ;4;Harian;31; 698.199 ;; 1 ;-22.523 ;; 74.324 ; 13.514 ; 736.486 ;ZONA25.08.20661;03 Sep 25;;;ok;07 Oct 25;Up;Z010;;;;;;;;
Z010;GESU2832175;07 Jul 23;06 Aug 23;20; 675.676 ;4;Harian;31; 698.199 ;; 1 ;-22.523 ;; 74.324 ; 13.514 ; 736.486 ;ZONA25.08.20661;03 Sep 25;;;ok;07 Oct 25;Up;Z010;;;;;;;;
