vendor,nomor_kontainer,size,tanggal_awal,tanggal_akhir,tarif,adjustment,periode,group,status
ZONA,BMOU2495277,20,2023-06-07,2023-07-06,Bulanan,0,3,Z010,ongoing
ZONA,GESU2832175,20,2023-06-07,2023-07-06,Bulanan,0,3,Z010,ongoing
ZONA,IRNU3633428,20,2023-06-07,2023-06-16,Harian,0,3,Z010,ongoing
ZONA,MAEU6958040,20,2023-06-07,2023-06-16,Harian,0,3,Z010,ongoing
ZONA,MSKU2158238,20,2023-06-07,2023-07-06,Bulanan,0,3,Z010,ongoing
ZONA,MSKU3041950,20,2023-06-07,2023-06-17,Harian,0,3,Z010,ongoing
ZONA,ZONA9900023,20,2023-06-07,2023-07-06,Bulanan,0,3,Z010,ongoing
ZONA,CCLU2644067,20,2023-06-08,2023-07-07,Bulanan,0,3,Z010,ongoing
ZONA,FCIU2922510,20,2023-06-08,2023-06-17,Harian,0,3,Z010,ongoing
ZONA,BMOU2495277,20,2023-07-07,2023-08-06,Harian,-22523,4,Z010,ongoing
ZONA,GESU2832175,20,2023-07-07,2023-08-06,Harian,-22523,4,Z010,ongoing
ZONA,MSKU2158238,20,2023-07-07,2023-08-06,Harian,-22523,4,Z010,ongoing
ZONA,ZONA9900023,20,2023-07-07,2023-07-11,Harian,-22523,4,Z010,ongoing
ZONA,CCLU2644067,20,2023-07-08,2023-08-06,Bulanan,0,4,Z010,ongoing
ZONA,GESU4838932,40,2023-11-22,2023-12-15,Harian,0,4,Z12,ongoing
ZONA,INKU2537304,40,2023-11-22,2023-12-01,Harian,0,4,Z12,ongoing
ZONA,NYKU5620235,40,2023-11-22,2023-12-16,Harian,0,4,Z12,ongoing
ZONA,TDRU5419898,40,2023-11-22,2023-12-13,Harian,-378378,4,Z12,ongoing
ZONA,TEMU6334206,40,2023-11-22,2023-12-13,Harian,-378378,4,Z12,ongoing
ZONA,TDRU6124340,40,2024-01-16,2024-02-15,Bulanan,0,3,Z09,ongoing
ZONA,TDRU6124340,40,2024-02-16,2024-03-15,Bulanan,0,4,Z09,ongoing
ZONA,TDRU6124340,40,2024-03-16,2024-04-15,Bulanan,-378378,5,Z09,ongoing
ZONA,TDRU6124340,40,2024-04-16,2024-05-15,Bulanan,0,6,Z09,ongoing
ZONA,TDRU6124340,40,2024-05-16,2024-06-15,Bulanan,0,7,Z09,ongoing
ZONA,TDRU6124340,40,2024-06-16,2024-07-15,Bulanan,0,8,Z09,ongoing
ZONA,TDRU6124340,40,2024-07-16,2024-08-15,Bulanan,0,9,Z09,ongoing
ZONA,TDRU6124340,40,2024-08-16,2024-09-15,Bulanan,0,10,Z09,ongoing
ZONA,TDRU6124340,40,2024-09-16,2024-10-15,Bulanan,0,11,Z09,ongoing
ZONA,TDRU6124340,40,2024-10-16,2024-11-15,Bulanan,0,12,Z09,ongoing
ZONA,TDRU6124340,40,2024-11-16,2024-12-03,Harian,0,13,Z09,ongoing
ZONA,EGHU9005182,40,2024-01-13,2024-02-12,Bulanan,0,1,Z16,ongoing
ZONA,NYKU5622053,40,2024-01-13,2024-02-12,Bulanan,0,1,Z16,ongoing
ZONA,MSCU9903797,40,2024-01-14,2024-02-13,Bulanan,0,1,Z16,ongoing
ZONA,VGCU2886097,40,2024-01-14,2024-02-13,Bulanan,0,1,Z16,ongoing
ZONA,EGHU9005182,40,2024-02-13,2024-03-12,Bulanan,0,2,Z16,ongoing
ZONA,NYKU5622053,40,2024-02-13,2024-03-12,Bulanan,0,2,Z16,ongoing
ZONA,MSCU9903797,40,2024-02-14,2024-03-13,Bulanan,0,2,Z16,ongoing
ZONA,VGCU2886097,40,2024-02-14,2024-03-13,Bulanan,0,2,Z16,ongoing
ZONA,EGHU9005182,40,2024-03-13,2024-04-12,Bulanan,-378378,3,Z16,ongoing
ZONA,NYKU5622053,40,2024-03-13,2024-04-12,Bulanan,-378378,3,Z16,ongoing
ZONA,MSCU9903797,40,2024-03-14,2024-04-13,Bulanan,-378378,3,Z16,ongoing
ZONA,VGCU2886097,40,2024-03-14,2024-04-13,Bulanan,-378378,3,Z16,ongoing
ZONA,EGHU9005182,40,2024-04-13,2024-05-12,Bulanan,0,4,Z16,ongoing
ZONA,NYKU5622053,40,2024-04-13,2024-04-24,Harian,42042,4,Z16,ongoing
ZONA,MSCU9903797,40,2024-04-14,2024-04-25,Harian,0,4,Z16,ongoing
ZONA,VGCU2886097,40,2024-04-14,2024-05-13,Bulanan,0,4,Z16,ongoing
ZONA,EGHU9005182,40,2024-05-13,2024-06-12,Bulanan,0,5,Z16,ongoing
ZONA,VGCU2886097,40,2024-05-14,2024-06-13,Bulanan,0,5,Z16,ongoing
ZONA,EGHU9005182,40,2024-06-13,2024-07-12,Bulanan,0,6,Z16,ongoing
ZONA,VGCU2886097,40,2024-06-14,2024-07-13,Bulanan,0,6,Z16,ongoing
ZONA,EGHU9005182,40,2024-07-13,2024-08-12,Bulanan,0,7,Z16,ongoing
ZONA,VGCU2886097,40,2024-07-14,2024-08-13,Bulanan,0,7,Z16,ongoing
ZONA,EGHU9005182,40,2024-08-13,2024-09-12,Bulanan,0,8,Z16,ongoing
ZONA,VGCU2886097,40,2024-08-14,2024-08-30,Harian,0,8,Z16,ongoing
ZONA,EGHU9005182,40,2024-09-13,2024-10-12,Bulanan,0,9,Z16,ongoing
ZONA,EGHU9005182,40,2024-10-13,2024-11-12,Bulanan,0,10,Z16,ongoing
ZONA,EGHU9005182,40,2024-11-13,2024-12-06,Harian,42042,24,Z16,ongoing
ZONA,AMFU8640522,40,2024-01-15,2024-02-14,Bulanan,0,1,Z17,ongoing
ZONA,EISU9153844,40,2024-01-15,2024-02-14,Bulanan,0,1,Z17,ongoing
ZONA,GESU4838932,40,2024-01-15,2024-02-14,Bulanan,0,1,Z17,ongoing
ZONA,REGU5043662,40,2024-01-15,2024-02-14,Bulanan,0,1,Z17,ongoing
ZONA,AMFU8640522,40,2024-02-15,2024-03-14,Bulanan,0,2,Z17,ongoing
ZONA,EISU9153844,40,2024-02-15,2024-03-14,Bulanan,0,2,Z17,ongoing
ZONA,GESU4838932,40,2024-02-15,2024-03-14,Bulanan,0,2,Z17,ongoing
ZONA,REGU5043662,40,2024-02-15,2024-03-14,Bulanan,0,2,Z17,ongoing
ZONA,AMFU8640522,40,2024-03-15,2024-04-14,Bulanan,-378378,3,Z17,ongoing
ZONA,EISU9153844,40,2024-03-15,2024-04-14,Bulanan,-378378,3,Z17,ongoing
ZONA,GESU4838932,40,2024-03-15,2024-04-14,Bulanan,-378378,3,Z17,ongoing
ZONA,REGU5043662,40,2024-03-15,2024-04-14,Bulanan,-378378,3,Z17,ongoing
ZONA,AMFU8640522,40,2024-04-15,2024-04-24,Harian,0,4,Z17,ongoing
ZONA,EISU9153844,40,2024-04-15,2024-04-20,Harian,0,4,Z17,ongoing
ZONA,GESU4838932,40,2024-04-15,2024-05-14,Bulanan,0,4,Z17,ongoing
ZONA,REGU5043662,40,2024-04-15,2024-05-14,Bulanan,0,4,Z17,ongoing
ZONA,GESU4838932,40,2024-05-15,2024-06-14,Bulanan,0,5,Z17,ongoing
ZONA,REGU5043662,40,2024-05-15,2024-06-14,Bulanan,0,5,Z17,ongoing
ZONA,GESU4838932,40,2024-06-15,2024-07-14,Bulanan,0,6,Z17,ongoing
ZONA,REGU5043662,40,2024-06-15,2024-07-14,Bulanan,0,6,Z17,ongoing
ZONA,GESU4838932,40,2024-07-15,2024-08-14,Bulanan,0,7,Z17,ongoing
ZONA,REGU5043662,40,2024-07-15,2024-08-14,Bulanan,0,7,Z17,ongoing
ZONA,GESU4838932,40,2024-08-15,2024-09-14,Bulanan,0,8,Z17,ongoing
ZONA,REGU5043662,40,2024-08-15,2024-09-14,Bulanan,0,8,Z17,ongoing
ZONA,GESU4838932,40,2024-09-15,2024-10-14,Bulanan,0,9,Z17,ongoing
ZONA,REGU5043662,40,2024-09-15,2024-10-14,Bulanan,0,9,Z17,ongoing
ZONA,GESU4838932,40,2024-10-15,2024-11-14,Bulanan,0,10,Z17,ongoing
ZONA,REGU5043662,40,2024-10-15,2024-11-14,Bulanan,0,10,Z17,ongoing
ZONA,GESU4838932,40,2024-11-15,2024-12-04,Harian,0,11,Z17,ongoing
ZONA,REGU5043662,40,2024-11-15,2024-12-14,Bulanan,0,11,Z17,ongoing
ZONA,REGU5043662,40,2024-12-15,2024-12-21,Harian,0,12,Z17,ongoing
ZONA,GESU4689335,40,2024-01-16,2024-02-15,Bulanan,0,1,Z18,ongoing
ZONA,GESU4735831,40,2024-01-16,2024-02-15,Bulanan,0,1,Z18,ongoing
ZONA,GESU4896815,40,2024-01-16,2024-02-15,Bulanan,0,1,Z18,ongoing
ZONA,PCIU9765813,40,2024-01-16,2024-02-15,Bulanan,0,1,Z18,ongoing
ZONA,GESU4689335,40,2024-02-16,2024-03-15,Bulanan,0,2,Z18,ongoing
ZONA,GESU4735831,40,2024-02-16,2024-03-15,Bulanan,0,2,Z18,ongoing
ZONA,GESU4896815,40,2024-02-16,2024-03-15,Bulanan,0,2,Z18,ongoing
ZONA,PCIU9765813,40,2024-02-16,2024-03-15,Bulanan,0,2,Z18,ongoing
ZONA,GESU4689335,40,2024-03-16,2024-04-15,Bulanan,-378378,3,Z18,ongoing
ZONA,GESU4735831,40,2024-03-16,2024-04-15,Bulanan,-378378,3,Z18,ongoing
ZONA,GESU4896815,40,2024-03-16,2024-04-15,Bulanan,-378378,3,Z18,ongoing
ZONA,PCIU9765813,40,2024-03-16,2024-04-15,Bulanan,-378378,3,Z18,ongoing
ZONA,GESU4689335,40,2024-04-16,2024-04-24,Harian,0,4,Z18,ongoing
ZONA,GESU4735831,40,2024-04-16,2024-05-15,Bulanan,0,4,Z18,ongoing
ZONA,GESU4896815,40,2024-04-16,2024-05-15,Bulanan,0,4,Z18,ongoing
ZONA,PCIU9765813,40,2024-04-16,2024-04-25,Harian,0,4,Z18,ongoing
ZONA,GESU4735831,40,2024-05-16,2024-06-15,Bulanan,0,5,Z18,ongoing
ZONA,GESU4896815,40,2024-05-16,2024-06-15,Bulanan,0,5,Z18,ongoing
ZONA,GESU4735831,40,2024-06-16,2024-07-15,Bulanan,0,6,Z18,ongoing
ZONA,GESU4896815,40,2024-06-16,2024-07-15,Bulanan,0,6,Z18,ongoing
ZONA,GESU4735831,40,2024-07-16,2024-08-15,Bulanan,0,7,Z18,ongoing
ZONA,GESU4896815,40,2024-07-16,2024-08-15,Bulanan,0,7,Z18,ongoing
ZONA,GESU4735831,40,2024-08-16,2024-09-15,Bulanan,0,8,Z18,ongoing
ZONA,GESU4896815,40,2024-08-16,2024-09-15,Bulanan,0,8,Z18,ongoing
ZONA,GESU4735831,40,2024-09-16,2024-10-15,Bulanan,0,9,Z18,ongoing
ZONA,GESU4896815,40,2024-09-16,2024-10-15,Bulanan,0,9,Z18,ongoing
ZONA,GESU4735831,40,2024-10-16,2024-11-15,Bulanan,0,10,Z18,ongoing
ZONA,GESU4896815,40,2024-10-16,2024-11-15,Bulanan,0,10,Z18,ongoing
ZONA,GESU4735831,40,2024-11-16,2024-12-03,Harian,0,11,Z18,ongoing
ZONA,GESU4896815,40,2024-11-16,2024-12-15,Bulanan,0,11,Z18,ongoing
ZONA,GESU4896815,40,2024-12-16,2024-12-20,Harian,0,12,Z18,ongoing
ZONA,YELU5789666,40,2024-01-18,2024-02-17,Bulanan,0,1,Z20,ongoing
ZONA,YELU5789666,40,2024-02-18,2024-03-17,Bulanan,0,2,Z20,ongoing
ZONA,YELU5789666,40,2024-03-18,2024-04-17,Bulanan,-378378,3,Z20,ongoing
ZONA,YELU5789666,40,2024-04-18,2024-05-17,Bulanan,0,4,Z20,ongoing
ZONA,YELU5789666,40,2024-05-18,2024-06-17,Bulanan,0,5,Z20,ongoing
ZONA,YELU5789666,40,2024-06-18,2024-07-17,Bulanan,0,6,Z20,ongoing
ZONA,YELU5789666,40,2024-07-18,2024-08-17,Bulanan,0,7,Z20,ongoing
ZONA,YELU5789666,40,2024-08-18,2024-09-17,Bulanan,0,8,Z20,ongoing
ZONA,YELU5789666,40,2024-09-18,2024-10-17,Bulanan,0,9,Z20,ongoing
ZONA,YELU5789666,40,2024-10-18,2024-11-17,Bulanan,0,10,Z20,ongoing
ZONA,YELU5789666,40,2024-11-18,2024-12-03,Harian,0,11,Z20,ongoing
ZONA,CCLU7032547,40,2024-03-08,2024-04-07,Bulanan,-378378,1,Z23,ongoing
ZONA,CMAU1034669,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,CPSU1828517,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,CRSU1468543,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,CRXU3112086,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,DFSU2061565,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
ZONA,FCIU2541302,20,2024-03-08,2024-04-07,Bulanan,0,1,Z23,ongoing
