no_surat_jalan;no_kontainer
0038591;FORU8134330
0035602;AYPU2524182
0038598;AYPU8039020
0036336;AYPU7935451
0034296;AYPU1128406
0035870;AYPU7910432
0035601;AYPU2263033
0036398;ONEU2787205
0034280;ONEU2791252
0036344;AYPU2506848
0035865;AYPU1296196
0035862;FTAU2267470
0036335;AYPU2441515
0036266;AYPU2001822
0034288;AYPU2438384
0036399;AYPU3638589
0036265;AYPU3515421
0038791;ONEU3195181
0035854;AYPU2333974
0036332;AYPU2344163
0036269;AYPU2740740
0036328;AYPU2692058
0035855;AYPU3169657
0035867;AYPU2659560
0035665;BMOU2484919
0035664;AYPU0319935
0038597;AYPU2263407
0036271;AYPU2591746
0035615;OOLU1608327
0038593;FORU2119067
0036338;CXDU1285505
0035667;AYPU3940035
0035671;AYPU2102310
0036501;AYPU2386261
0035618;AYPU3926707
0035681;AYPU2401831
0035661;AYPU6660971
0034285;OOLU1683568
0035866;AYPU2344705
0035663;AYPU2418979
0038794;AYPU2256537
0038793;AYPU2772942
0035857;DRYU2302717
0036268;TRLU5548102
0036333;WSCU7720837
0036329;AYPU2058211
0038795;AYPU2527178
0036331;AYPU2049152
0038592;AYPU2565096
0036272;AYPU0332691
0038595;AYPU2104842
0036270;AYPU7515762
0035860;AYPU2532339
0036274;AYPU1462519
0035662;AYPU8901040
0035859;AYPU7493340
0036400;AYPU6140332
0038790;AYPU0236321
0038599;AYPU3653102
0038789;AYPU2923640
0036273;AYPU3231406
0035666;AYPU3716601
0035858;AYPU3178221
0038594;AYPU2107088
0034281;AYPU0304188
0038792;AYPU2101822
0038600;AYPU2513467
0035861;AYPU3835993
0036454;AYPU2199165
0034282;AYPU2005867
0035677;DRYU9138652
0036330;AYPU2111482
0036453;AYPU7928920
0035856;AYPU2737638
0035863;AYPU2576266
0035609;AYPU3890377
0036456;AYPU7065794
0035883;AYPU2985741
0038797;AYPU2312246
0035669;AYPU2194931
0036339;AYPU2375013
0035607;AYPU2488148
0036455;AYPU3320842
0038798;AYPU2990429
0035673;AYPU2100277
0035603;AYPU2038760
0035887;AYPU6581732
0035670;AYPU5637686
0038799;AYPU9216151
0038796;AYPU0173472
0035668;AYPU0033870
0038596;AYPU2102177
0035868;AYPU2660473
0036334;AYPU2113870
0034289;AYPU3722455
0035869;BMOU2858623
0034283;AYPU0354767
0035802;AYPU6052436
0035874;TGHU0187542
0036505;AYPU2438424
0036337;OOLU1612414
0036277;AYPU1967210
0034293;AYPU2281171
0035672;AYPU3684476
0036348;AYPU3028836
0035885;CBHU5604788
0035877;IRNU3692251
0034286;DRYU2372740
0036457;AYPU6025627
0034295;WHLU0268015
0034287;AYPU2295621
0034292;CSLU1244909
0036504;IRNU3613191
0035605;AYPU8033594
0036276;CRXU1143128
0035617;AYPU3584593
0035606;AYPU2105535
0036294;AYPU2570317
0036502;CXDU1267918
0036275;EISU2158356
0035610;AYPU2113905
0035604;BMOU2472395
0036341;AYPU5470290
0035613;DRYU9057890
0036280;AYPU2462500
0036279;AYPU2420087
0038800;AYPU2266109
0035674;AYPU2113567
0036278;AYPU0220578
0036503;AYPU3933632
0036291;AYPU2403351
0035884;AYPU2248091
0036282;AYPU2419280
0034291;AYPU1000727
0036286;AYPU2311614
00362693;AYPU7511140
0035803;AYPU7063810
0034290;AYPU2007034
0036281;AYPU0216829
0036340;AYPU3347990
0035876;AYPU1205149
0035873;AYPU2627346
0036345;AYPU3174530
0035676;AYPU2435657
0035878;AYPU3662335
0035886;AYPU0462965
0035804;AYPU2694351
0035675;AYPU2553189
0035608;AYPU2299714
0035679;AYPU5459550
0035875;AYPU0326940
0034294;AYPU2424652
0035614;GESU3600488
0035683;BMOU2546841
0036506;AYPU2452374
0035678;AYPU0335962
0036292;AYPU6371263
0036461;AYPU2694599
0035801;AYPU2525489
0036346;AYPU2236364
0036507;AYPU2296799
0035680;AYPU2756561
0035616;AYPU2690844
0036347;AYPU3978054
0036460;AYPU0305633
