"Awalan Kontainer (4 karakter)";"Nomor Seri Kontainer (6 digit)";"Akhiran Kontainer (1 digit)";"Nomor Seri Gabungan (11 karakter)";Ukuran;"Tipe Kontainer";Status;"Tahun Pembuatan";Keterangan
AYPU;003386;0;AYPU0033860;20;"Dry Container";available;;
AYPU;003387;0;AYPU0033870;20;"Dry Container";available;;
AYPU;003389;0;AYPU0033890;20;"Dry Container";available;;
AYPU;011250;0;AYPU0112500;20;"Dry Container";available;;
AYPU;017347;2;AYPU0173472;20;"Dry Container";available;;
AYPU;021798;9;AYPU0217989;20;"Dry Container";available;;
AYPU;037497;4;AYPU0374974;20;"Dry Container";available;;"TUKER TAMBAH AYPU0218033"
AYPU;024515;0;AYPU0245150;20;"Dry Container";available;;
AYPU;030418;8;AYPU0304188;20;"Dry Container";available;;
AYPU;031087;4;AYPU0310874;20;"Dry Container";available;;
AYPU;031131;8;AYPU0311318;20;"Dry Container";available;;
AYPU;033478;5;AYPU0334785;40;"Dry Container";available;;
AYPU;042666;8;AYPU0426668;20;"Dry Container";available;;
AYPU;050088;0;AYPU0500880;20;"Dry Container";available;;
AYPU;053508;0;AYPU0535080;40;"Dry Container";available;;
AYPU;073853;0;AYPU0738530;40;"Dry Container";available;;
AYPU;074134;0;AYPU0741340;20;"Dry Container";available;;
AYPU;077571;5;AYPU0775715;20;"Dry Container";available;;
AYPU;100072;7;AYPU1000727;20;"Dry Container";available;;
AYPU;100089;8;AYPU1000898;20;"Dry Container";available;;
AYPU;101377;6;AYPU1013776;20;"Dry Container";available;;
AYPU;115610;8;AYPU1156108;20;"Dry Container";available;;
AYPU;116117;2;AYPU1161172;20;"Dry Container";available;;
AYPU;117367;6;AYPU1173676;20;"Dry Container";available;;
AYPU;118104;7;AYPU1181047;20;"Dry Container";available;;
AYPU;119259;5;AYPU1192595;20;"Dry Container";available;;
AYPU;119473;0;AYPU1194730;20;"Dry Container";available;;
AYPU;120514;9;AYPU1205149;20;"Dry Container";available;;
AYPU;121673;4;AYPU1216734;20;"Dry Container";available;;
AYPU;123711;0;AYPU1237110;20;"Dry Container";available;;
AYPU;124078;8;AYPU1240788;20;"Dry Container";available;;
AYPU;124604;7;AYPU1246047;20;"Dry Container";available;;
AYPU;125602;2;AYPU1256022;20;"Dry Container";available;;
AYPU;125932;0;AYPU1259320;20;"Dry Container";available;;
AYPU;126112;1;AYPU1261121;20;"Dry Container";available;;
AYPU;126315;0;AYPU1263150;20;"Dry Container";available;;
AYPU;126342;2;AYPU1263422;20;"Dry Container";available;;
AYPU;126909;8;AYPU1269098;20;"Dry Container";available;;
AYPU;127390;3;AYPU1273903;20;"Dry Container";available;;
AYPU;129619;6;AYPU1296196;20;"Dry Container";available;;
AYPU;131338;0;AYPU1313380;20;"Dry Container";available;;
AYPU;140571;9;AYPU1405719;20;"Dry Container";available;;
AYPU;146251;9;AYPU1462519;20;"Dry Container";available;;
AYPU;147566;0;AYPU1475660;20;"Dry Container";available;;
AYPU;149097;4;AYPU1490974;20;"Dry Container";available;;
AYPU;152255;1;AYPU1522551;20;"Dry Container";available;;
AYPU;152335;5;AYPU1523355;20;"Dry Container";available;;
AYPU;154387;4;AYPU1543874;40;"Dry Container";available;;
AYPU;156176;6;AYPU1561766;20;"Dry Container";available;;
AYPU;168105;7;AYPU1681057;20;"Dry Container";available;;
