"Awalan Kontainer";"Nomor Seri";Akhiran;Ukuran;Vendor
ALLU;220209;7;20;"PT. ZONA LINTAS SAMUDERA"
AMFU;313132;7;20;"PT. ZONA LINTAS SAMUDERA"
AMFU;315369;2;20;"PT. ZONA LINTAS SAMUDERA"
AMFU;317051;3;20;"PT. ZONA LINTAS SAMUDERA"
AMFU;423298;6;40;"PT. ZONA LINTAS SAMUDERA"
AMFU;864052;2;40;"PT. ZONA LINTAS SAMUDERA"
APHU;625624;9;40;"PT. ZONA LINTAS SAMUDERA"
APHU;632210;3;40;"PT. ZONA LINTAS SAMUDERA"
APLS;297293;2;20;"PT. ZONA LINTAS SAMUDERA"
APMU;282368;6;20;"PT. ZONA LINTAS SAMUDERA"
APZU;388193;9;20;"PT. ZONA LINTAS SAMUDERA"
APZU;396024;1;20;"PT. ZONA LINTAS SAMUDERA"
AXIU;222231;7;20;"PT. ZONA LINTAS SAMUDERA"
AXIU;293377;9;20;"PT. ZONA LINTAS SAMUDERA"
AXIU;841258;8;20;"PT. ZONA LINTAS SAMUDERA"
AXIU;846429;9;20;"PT. ZONA LINTAS SAMUDERA"
BHSU;200233;2;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;210196;4;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;236987;5;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;238386;8;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;241969;9;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;244641;5;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;244848;6;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;247461;2;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;248491;9;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;248752;2;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;249527;7;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;249566;2;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;271717;9;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;275253;9;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;401358;5;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;415313;9;20;"PT. ZONA LINTAS SAMUDERA"
BMOU;419253;6;40;"PT. ZONA LINTAS SAMUDERA"
BMOU;439340;1;40;"PT. ZONA LINTAS SAMUDERA"
BMOU;440283;8;40;"PT. ZONA LINTAS SAMUDERA"
BMOU;455537;5;40;"PT. ZONA LINTAS SAMUDERA"
BPLU;041300;5;40;"PT. ZONA LINTAS SAMUDERA"
BPLU;121000;2;40;"PT. ZONA LINTAS SAMUDERA"
BSIU;294638;1;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;248309;1;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;264127;9;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;272865;6;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;274438;5;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;285775;6;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;300281;6;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;312462;4;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;318516;8;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;320499;3;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;804852;7;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;817117;2;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;823840;3;20;"PT. ZONA LINTAS SAMUDERA"
CAIU;834082;1;40;"PT. ZONA LINTAS SAMUDERA"
CAIU;891147;4;40;"PT. ZONA LINTAS SAMUDERA"
CAKU;220276;1;20;"PT. ZONA LINTAS SAMUDERA"
CAKU;220325;9;20;"PT. ZONA LINTAS SAMUDERA"
CAKU;221496;8;20;"PT. ZONA LINTAS SAMUDERA"
CAKU;221571;1;20;"PT. ZONA LINTAS SAMUDERA"
CAKU;221710;2;20;"PT. ZONA LINTAS SAMUDERA"
CAKU;352390;9;20;"PT. ZONA LINTAS SAMUDERA"
CAKU;969313;1;40;"PT. ZONA LINTAS SAMUDERA"
CAXU;609837;2;20;"PT. ZONA LINTAS SAMUDERA"
CAXU;609973;8;20;"PT. ZONA LINTAS SAMUDERA"
CAXU;626142;7;20;"PT. ZONA LINTAS SAMUDERA"
CAXU;645565;4;20;"PT. ZONA LINTAS SAMUDERA"
CAXU;687052;6;20;"PT. ZONA LINTAS SAMUDERA"
CAXU;693767;7;20;"PT. ZONA LINTAS SAMUDERA"
CAXU;695770;8;20;"PT. ZONA LINTAS SAMUDERA"
CAXU;818411;9;40;"PT. ZONA LINTAS SAMUDERA"
CAXU;820880;1;40;"PT. ZONA LINTAS SAMUDERA"
CAXU;909676;9;40;"PT. ZONA LINTAS SAMUDERA"
CAXU;923434;3;40;"PT. ZONA LINTAS SAMUDERA"
CAXU;931964;6;40;"PT. ZONA LINTAS SAMUDERA"
CAXU;951372;8;40;"PT. ZONA LINTAS SAMUDERA"
CAXU;996875;3;40;"PT. ZONA LINTAS SAMUDERA"
CBHU;366563;4;20;"PT. ZONA LINTAS SAMUDERA"
CBHU;403443;8;20;"PT. ZONA LINTAS SAMUDERA"
CBHU;407563;2;20;"PT. ZONA LINTAS SAMUDERA"
CBHU;553163;4;20;"PT. ZONA LINTAS SAMUDERA"
CBHU;560478;8;20;"PT. ZONA LINTAS SAMUDERA"
CBHU;570012;2;20;"PT. ZONA LINTAS SAMUDERA"
CBHU;584191;7;20;"PT. ZONA LINTAS SAMUDERA"
CBHU;800966;5;40;"PT. ZONA LINTAS SAMUDERA"
CBHU;881065;3;40;"PT. ZONA LINTAS SAMUDERA"
CBHU;886805;9;20;"PT. ZONA LINTAS SAMUDERA"
CCLU;260304;7;20;"PT. ZONA LINTAS SAMUDERA"
CCLU;264406;7;20;"PT. ZONA LINTAS SAMUDERA"
CCLU;278411;4;20;"PT. ZONA LINTAS SAMUDERA"
CCLU;282359;2;20;"PT. ZONA LINTAS SAMUDERA"
CCLU;345157;1;20;"PT. ZONA LINTAS SAMUDERA"
CCLU;345681;9;20;"PT. ZONA LINTAS SAMUDERA"
CCLU;358854;3;20;"PT. ZONA LINTAS SAMUDERA"
CCLU;365103;4;20;"PT. ZONA LINTAS SAMUDERA"
CCLU;371476;5;20;"PT. ZONA LINTAS SAMUDERA"
CCLU;399643;7;20;"PT. ZONA LINTAS SAMUDERA"
CCLU;624730;3;40;"PT. ZONA LINTAS SAMUDERA"
CCLU;703254;7;40;"PT. ZONA LINTAS SAMUDERA"
CCLU;711913;8;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;220233;6;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;220582;6;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221018;6;20;"PT. ZONA LINTAS SAMUDERA"
CHKU;221031;3;20;"PT. ZONA LINTAS SAMUDERA"
