Awalan Kontainer;Nomor Seri;Akhiran;Ukuran;Vendor;Nomor Kontainer;
ALLU;220209;7;20;PT. ZONA LINTAS SAMUDERA;2202097;
AMFU;313132;7;20;PT. ZONA LINTAS SAMUDERA;3131327;
AMFU;315369;2;20;PT. ZONA LINTAS SAMUDERA;3153692;
AMFU;317051;3;20;PT. ZONA LINTAS SAMUDERA;3170513;
AMFU;423298;6;40;PT. ZONA LINTAS SAMUDERA;4232986;
AMFU;424299;0;40;PT. ZONA LINTAS SAMUDERA;4242990;
AMFU;864052;2;40;PT. ZONA LINTAS SAMUDERA;8640522;
APHU;602807;0;40;PT. ZONA LINTAS SAMUDERA;6028070;
APHU;625624;9;40;PT. ZONA LINTAS SAMUDERA;6256249;
APHU;632210;3;40;PT. ZONA LINTAS SAMUDERA;6322103;
APLS;295915;0;20;PT. ZONA LINTAS SAMUDERA;2959150;
APLS;297293;2;20;PT. ZONA LINTAS SAMUDERA;2972932;
APMU;282368;6;20;PT. ZONA LINTAS SAMUDERA;2823686;
APZU;388193;9;20;PT. ZONA LINTAS SAMUDERA;3881939;
APZU;390787;0;20;PT. ZONA LINTAS SAMUDERA;3907870;
APZU;396024;1;20;PT. ZONA LINTAS SAMUDERA;3960241;
AXIU;222231;7;20;PT. ZONA LINTAS SAMUDERA;2222317;
AXIU;293377;9;20;PT. ZONA LINTAS SAMUDERA;2933779;
AXIU;841258;8;20;PT. ZONA LINTAS SAMUDERA;8412588;
AXIU;846429;9;20;PT. ZONA LINTAS SAMUDERA;8464299;
BHSU;200233;2;20;PT. ZONA LINTAS SAMUDERA;2002332;
BMOU;210196;4;20;PT. ZONA LINTAS SAMUDERA;2101964;
BMOU;236987;5;20;PT. ZONA LINTAS SAMUDERA;2369875;
BMOU;238386;8;20;PT. ZONA LINTAS SAMUDERA;2383868;
BMOU;241969;9;20;PT. ZONA LINTAS SAMUDERA;2419699;
BMOU;242210;0;20;PT. ZONA LINTAS SAMUDERA;2422100;
BMOU;244641;5;20;PT. ZONA LINTAS SAMUDERA;2446415;
BMOU;244848;6;20;PT. ZONA LINTAS SAMUDERA;2448486;
BMOU;247020;0;20;PT. ZONA LINTAS SAMUDERA;2470200;
BMOU;247461;2;20;PT. ZONA LINTAS SAMUDERA;2474612;
BMOU;248491;9;20;PT. ZONA LINTAS SAMUDERA;2484919;
BMOU;248752;2;20;PT. ZONA LINTAS SAMUDERA;2487522;
BMOU;249527;7;20;PT. ZONA LINTAS SAMUDERA;2495277;
BMOU;249566;2;20;PT. ZONA LINTAS SAMUDERA;2495662;
BMOU;269114;0;20;PT. ZONA LINTAS SAMUDERA;2691140;
BMOU;271717;9;20;PT. ZONA LINTAS SAMUDERA;2717179;
BMOU;275253;9;20;PT. ZONA LINTAS SAMUDERA;2752539;
BMOU;401306;0;20;PT. ZONA LINTAS SAMUDERA;4013060;
BMOU;401358;5;20;PT. ZONA LINTAS SAMUDERA;4013585;
BMOU;415313;9;20;PT. ZONA LINTAS SAMUDERA;4153139;
BMOU;417542;0;20;PT. ZONA LINTAS SAMUDERA;4175420;
BMOU;419253;6;40;PT. ZONA LINTAS SAMUDERA;4192536;
BMOU;439340;1;40;PT. ZONA LINTAS SAMUDERA;4393401;
BMOU;440283;8;40;PT. ZONA LINTAS SAMUDERA;4402838;
BMOU;455537;5;40;PT. ZONA LINTAS SAMUDERA;4555375;
BPLU;041300;5;40;PT. ZONA LINTAS SAMUDERA;0413005;
BPLU;121000;2;40;PT. ZONA LINTAS SAMUDERA;1210002;
BSIU;294638;1;20;PT. ZONA LINTAS SAMUDERA;2946381;
CAIU;242774;0;20;PT. ZONA LINTAS SAMUDERA;2427740;
CAIU;248309;1;20;PT. ZONA LINTAS SAMUDERA;2483091;
CAIU;264127;9;20;PT. ZONA LINTAS SAMUDERA;2641279;
CAIU;272865;6;20;PT. ZONA LINTAS SAMUDERA;2728656;
CAIU;274438;5;20;PT. ZONA LINTAS SAMUDERA;2744385;
CAIU;285775;6;20;PT. ZONA LINTAS SAMUDERA;2857756;
CAIU;300281;6;20;PT. ZONA LINTAS SAMUDERA;3002816;
CAIU;312462;4;20;PT. ZONA LINTAS SAMUDERA;3124624;
CAIU;318433;0;20;PT. ZONA LINTAS SAMUDERA;3184330;
CAIU;318516;8;20;PT. ZONA LINTAS SAMUDERA;3185168;
CAIU;320499;3;20;PT. ZONA LINTAS SAMUDERA;3204993;
CAIU;804852;7;20;PT. ZONA LINTAS SAMUDERA;8048527;
CAIU;817117;2;20;PT. ZONA LINTAS SAMUDERA;8171172;
CAIU;823840;3;20;PT. ZONA LINTAS SAMUDERA;8238403;
CAIU;834082;1;40;PT. ZONA LINTAS SAMUDERA;8340821;
CAIU;891147;4;40;PT. ZONA LINTAS SAMUDERA;8911474;
CAKU;220276;1;20;PT. ZONA LINTAS SAMUDERA;2202761;
CAKU;220325;9;20;PT. ZONA LINTAS SAMUDERA;2203259;
