vendor;nomor_kontainer;size;periode;masa;old_dpp;new_dpp;days_in_period;daily_rate
DPE;CCLU3836629;20;6;21 juni 2025 - 23 juni 2025;75000.00;75000.00;3;25000.00
DPE;CBHU4077764;20;5;21 mei 2025 - 5 juni 2025;400000.00;400000.00;16;25000.00
DPE;CCLU3806500;20;3;22 maret 2025 - 9 april 2025;475000.00;475000.00;19;25000.00
DPE;DPEU4869769;20;3;22 maret 2025 - 8 april 2025;450000.00;450000.00;18;25000.00
DPE;CBHU5876322;20;5;22 mei 2025 - 5 juni 2025;375000.00;375000.00;15;25000.00
DPE;STXU2015218;20;5;22 mei 2025 - 26 mei 2025;125000.00;125000.00;5;25000.00
DPE;CBHU5914130;20;5;23 mei 2025 - 26 mei 2025;100000.00;100000.00;4;25000.00
DPE;CSLU1004045;20;3;23 maret 2025 - 9 april 2025;450000.00;450000.00;18;25000.00
DPE;CBHU3952697;20;3;24 maret 2025 - 9 april 2025;425000.00;425000.00;17;25000.00
DPE;CXDU1108080;20;3;24 maret 2025 - 10 april 2025;450000.00;450000.00;18;25000.00
ZONA;XXXU9902224;40;6;6 desember 2024 - 4 januari 2025;42042.00;1261260.00;30;42042.00
ZONA;TEXU7210230;40;13;6 juli 2025 - 25 juli 2025;42042.00;840840.00;20;42042.00
ZONA;CBHU8810653;40;10;30 mei 2025 - 25 juni 2025;42042.00;1135134.00;27;42042.00
ZONA;CLHU3925177;40;1;12 desember 2024 - 2 januari 2025;42042.00;924924.00;22;42042.00
ZONA;ZWFU1000730;40;1;11 desember 2024 - 2 januari 2025;42042.00;966966.00;23;42042.00
ZONA;DNAU2622206;20;4;11 maret 2025 - 7 april 2025;22522.00;630616.00;28;22522.00
ZONA;ZONA6987793;40;1;12 desember 2024 - 2 januari 2025;42042.00;924924.00;22;42042.00
ZONA;EMSU9871692;40;7;7 juli 2025 - 22 juli 2025;42042.00;672672.00;16;42042.00
ZONA;MSCU3213686;20;3;21 maret 2025 - 8 april 2025;22522.00;427918.00;19;22522.00
ZONA;TGHU3222626;20;3;21 maret 2025 - 8 april 2025;22522.00;427918.00;19;22522.00
ZONA;CXDU1108921;20;3;21 maret 2025 - 8 april 2025;22522.00;427918.00;19;22522.00
ZONA;CXDU1212730;20;5;21 mei 2025 - 18 juni 2025;22522.00;653138.00;29;22522.00
ZONA;GESU1386736;20;5;21 mei 2025 - 4 juni 2025;22522.00;337830.00;15;22522.00
ZONA;HALU3509311;20;5;21 mei 2025 - 26 mei 2025;22522.00;135132.00;6;22522.00
ZONA;DFSU2296934;20;3;21 maret 2025 - 7 april 2025;22522.00;405396.00;18;22522.00
ZONA;CBHU4034438;20;5;21 mei 2025 - 1 juni 2025;22522.00;270264.00;12;22522.00
