"vendor";"nomor_kontainer";"size";"group";"tanggal_awal";"tanggal_akhir";"periode";"masa";"tarif";"dpp";"dpp_nilai_lain";"ppn";"pph";"grand_total";"status";"computed_periode"
"DPE";"CCLU3836629";"20";"D001";"2025-01-21";"2025-06-23";"1";"21 januari 2025 - 20 februari 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"6"
"DPE";"CCLU3836629";"20";"D001";"2025-01-21";"2025-06-23";"2";"21 februari 2025 - 20 maret 2025";"Bulanan";"700000.00";"641666.67";"77000.00";"14000.00";"763000.00";"";"6"
"DPE";"CCLU3836629";"20";"D001";"2025-01-21";"2025-06-23";"3";"21 maret 2025 - 20 april 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"6"
"DPE";"CCLU3836629";"20";"D001";"2025-01-21";"2025-06-23";"4";"21 april 2025 - 20 mei 2025";"Bulanan";"750000.00";"687500.00";"82500.00";"15000.00";"817500.00";"";"6"
"DPE";"CCLU3836629";"20";"D001";"2025-01-21";"2025-06-23";"5";"21 mei 2025 - 20 juni 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"6"
"DPE";"CCLU3836629";"20";"D001";"2025-01-21";"2025-06-23";"6";"21 juni 2025 - 23 juni 2025";"Harian";"75000.00";"68750.00";"8250.00";"1500.00";"81750.00";"";"6"
"DPE";"CBHU4077764";"20";"D001";"2025-01-21";"2025-06-05";"1";"21 januari 2025 - 20 februari 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"5"
"DPE";"CBHU4077764";"20";"D001";"2025-01-21";"2025-06-05";"2";"21 februari 2025 - 20 maret 2025";"Bulanan";"700000.00";"641666.67";"77000.00";"14000.00";"763000.00";"";"5"
"DPE";"CBHU4077764";"20";"D001";"2025-01-21";"2025-06-05";"3";"21 maret 2025 - 20 april 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"5"
"DPE";"CBHU4077764";"20";"D001";"2025-01-21";"2025-06-05";"4";"21 april 2025 - 20 mei 2025";"Bulanan";"750000.00";"687500.00";"82500.00";"15000.00";"817500.00";"";"5"
"DPE";"CBHU4077764";"20";"D001";"2025-01-21";"2025-06-05";"5";"21 mei 2025 - 5 juni 2025";"Harian";"400000.00";"366666.67";"44000.00";"8000.00";"436000.00";"";"5"
"DPE";"CCLU3806500";"20";"D002";"2025-01-22";"2025-04-09";"1";"22 januari 2025 - 21 februari 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"3"
"DPE";"CCLU3806500";"20";"D002";"2025-01-22";"2025-04-09";"2";"22 februari 2025 - 21 maret 2025";"Bulanan";"700000.00";"641666.67";"77000.00";"14000.00";"763000.00";"";"3"
"DPE";"CCLU3806500";"20";"D002";"2025-01-22";"2025-04-09";"3";"22 maret 2025 - 9 april 2025";"Harian";"475000.00";"435416.67";"52250.00";"9500.00";"517750.00";"";"3"
"DPE";"DPEU4869769";"20";"D002";"2025-01-22";"2025-04-08";"1";"22 januari 2025 - 21 februari 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"3"
"DPE";"DPEU4869769";"20";"D002";"2025-01-22";"2025-04-08";"2";"22 februari 2025 - 21 maret 2025";"Bulanan";"700000.00";"641666.67";"77000.00";"14000.00";"763000.00";"";"3"
"DPE";"DPEU4869769";"20";"D002";"2025-01-22";"2025-04-08";"3";"22 maret 2025 - 8 april 2025";"Harian";"450000.00";"412500.00";"49500.00";"9000.00";"490500.00";"";"3"
"DPE";"CBHU5876322";"20";"D002";"2025-01-22";"2025-06-05";"1";"22 januari 2025 - 21 februari 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"5"
"DPE";"CBHU5876322";"20";"D002";"2025-01-22";"2025-06-05";"2";"22 februari 2025 - 21 maret 2025";"Bulanan";"700000.00";"641666.67";"77000.00";"14000.00";"763000.00";"";"5"
"DPE";"CBHU5876322";"20";"D002";"2025-01-22";"2025-06-05";"3";"22 maret 2025 - 21 april 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"5"
"DPE";"CBHU5876322";"20";"D002";"2025-01-22";"2025-06-05";"4";"22 april 2025 - 21 mei 2025";"Bulanan";"750000.00";"687500.00";"82500.00";"15000.00";"817500.00";"";"5"
"DPE";"CBHU5876322";"20";"D002";"2025-01-22";"2025-06-05";"5";"22 mei 2025 - 5 juni 2025";"Harian";"375000.00";"343750.00";"41250.00";"7500.00";"408750.00";"";"5"
"DPE";"STXU2015218";"20";"D002";"2025-01-22";"2025-05-26";"1";"22 januari 2025 - 21 februari 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"5"
"DPE";"STXU2015218";"20";"D002";"2025-01-22";"2025-05-26";"2";"22 februari 2025 - 21 maret 2025";"Bulanan";"700000.00";"641666.67";"77000.00";"14000.00";"763000.00";"";"5"
"DPE";"STXU2015218";"20";"D002";"2025-01-22";"2025-05-26";"3";"22 maret 2025 - 21 april 2025";"Bulanan";"775000.00";"710416.67";"85250.00";"15500.00";"844750.00";"";"5"
"DPE";"STXU2015218";"20";"D002";"2025-01-22";"2025-05-26";"4";"22 april 2025 - 21 mei 2025";"Bulanan";"750000.00";"687500.00";"82500.00";"15000.00";"817500.00";"";"5"
"DPE";"STXU2015218";"20";"D002";"2025-01-22";"2025-05-26";"5";"22 mei 2025 - 26 mei 2025";"Harian";"125000.00";"114583.33";"13750.00";"2500.00";"136250.00";"";"5"
