grup;vendor;nomor_kontainer;size;group;tanggal_awal;tanggal_akhir;periode;masa;tarif;dpp;dpp_nilai_lain;ppn;pph;grand_total;status;computed_periode
TK125010000001;DPE;CCLU3836629;20;D001;2025-01-21;2025-06-23;1;"21 januari 2025 - 20 februari 2025";Bulanan;775000;710417;85250;15500;844750;;6
TK125010000002;DPE;CCLU3836629;20;D001;2025-01-21;2025-06-23;2;"21 februari 2025 - 20 maret 2025";Bulanan;700000;641667;77000;14000;763000;;6
TK125010000003;DPE;CCLU3836629;20;D001;2025-01-21;2025-06-23;3;"21 maret 2025 - 20 april 2025";Bulanan;775000;710417;85250;15500;844750;;6
TK125010000004;DPE;CCLU3836629;20;D001;2025-01-21;2025-06-23;4;"21 april 2025 - 20 mei 2025";Bulanan;750000;687500;82500;15000;817500;;6
TK125010000005;DPE;CCLU3836629;20;D001;2025-01-21;2025-06-23;5;"21 mei 2025 - 20 juni 2025";Bulanan;775000;710417;85250;15500;844750;;6
TK125010000006;DPE;CCLU3836629;20;D001;2025-01-21;2025-06-23;6;"21 juni 2025 - 23 juni 2025";Harian;75000;68750;8250;1500;81750;;6
TK125010000007;DPE;CBHU4077764;20;D001;2025-01-21;2025-06-05;1;"21 januari 2025 - 20 februari 2025";Bulanan;775000;710417;85250;15500;844750;;5
TK125010000008;DPE;CBHU4077764;20;D001;2025-01-21;2025-06-05;2;"21 februari 2025 - 20 maret 2025";Bulanan;700000;641667;77000;14000;763000;;5
TK125010000009;DPE;CBHU4077764;20;D001;2025-01-21;2025-06-05;3;"21 maret 2025 - 20 april 2025";Bulanan;775000;710417;85250;15500;844750;;5
TK125010000010;DPE;CBHU4077764;20;D001;2025-01-21;2025-06-05;4;"21 april 2025 - 20 mei 2025";Bulanan;750000;687500;82500;15000;817500;;5
TK125010000011;DPE;CBHU4077764;20;D001;2025-01-21;2025-06-05;5;"21 mei 2025 - 5 juni 2025";Harian;400000;366667;44000;8000;436000;;5
TK125010000012;DPE;CCLU3806500;20;D002;2025-01-22;2025-04-09;1;"22 januari 2025 - 21 februari 2025";Bulanan;775000;710417;85250;15500;844750;;3
TK125010000013;DPE;CCLU3806500;20;D002;2025-01-22;2025-04-09;2;"22 februari 2025 - 21 maret 2025";Bulanan;700000;641667;77000;14000;763000;;3
TK125010000014;DPE;CCLU3806500;20;D002;2025-01-22;2025-04-09;3;"22 maret 2025 - 9 april 2025";Harian;475000;435417;52250;9500;517750;;3
TK125010000015;DPE;DPEU4869769;20;D002;2025-01-22;2025-04-08;1;"22 januari 2025 - 21 februari 2025";Bulanan;775000;710417;85250;15500;844750;;3
TK125010000016;DPE;DPEU4869769;20;D002;2025-01-22;2025-04-08;2;"22 februari 2025 - 21 maret 2025";Bulanan;700000;641667;77000;14000;763000;;3
TK125010000017;DPE;DPEU4869769;20;D002;2025-01-22;2025-04-08;3;"22 maret 2025 - 8 april 2025";Harian;450000;412500;49500;9000;490500;;3
TK125010000018;DPE;CBHU5876322;20;D002;2025-01-22;2025-06-05;1;"22 januari 2025 - 21 februari 2025";Bulanan;775000;710417;85250;15500;844750;;5
TK125010000019;DPE;CBHU5876322;20;D002;2025-01-22;2025-06-05;2;"22 februari 2025 - 21 maret 2025";Bulanan;700000;641667;77000;14000;763000;;5
TK125010000020;DPE;CBHU5876322;20;D002;2025-01-22;2025-06-05;3;"22 maret 2025 - 21 april 2025";Bulanan;775000;710417;85250;15500;844750;;5
TK125010000021;DPE;CBHU5876322;20;D002;2025-01-22;2025-06-05;4;"22 april 2025 - 21 mei 2025";Bulanan;750000;687500;82500;15000;817500;;5
TK125010000022;DPE;CBHU5876322;20;D002;2025-01-22;2025-06-05;5;"22 mei 2025 - 5 juni 2025";Harian;375000;343750;41250;7500;408750;;5
TK125010000023;DPE;STXU2015218;20;D002;2025-01-22;2025-05-26;1;"22 januari 2025 - 21 februari 2025";Bulanan;775000;710417;85250;15500;844750;;5
TK125010000024;DPE;STXU2015218;20;D002;2025-01-22;2025-05-26;2;"22 februari 2025 - 21 maret 2025";Bulanan;700000;641667;77000;14000;763000;;5
TK125010000025;DPE;STXU2015218;20;D002;2025-01-22;2025-05-26;3;"22 maret 2025 - 21 april 2025";Bulanan;775000;710417;85250;15500;844750;;5
TK125010000026;DPE;STXU2015218;20;D002;2025-01-22;2025-05-26;4;"22 april 2025 - 21 mei 2025";Bulanan;750000;687500;82500;15000;817500;;5
TK125010000027;DPE;STXU2015218;20;D002;2025-01-22;2025-05-26;5;"22 mei 2025 - 26 mei 2025";Harian;125000;114583;13750;2500;136250;;5
TK125010000028;DPE;CBHU5914130;20;D003;2025-01-23;2025-05-26;1;"23 januari 2025 - 22 februari 2025";Bulanan;775000;710417;85250;15500;844750;;5
TK125010000029;DPE;CBHU5914130;20;D003;2025-01-23;2025-05-26;2;"23 februari 2025 - 22 maret 2025";Bulanan;700000;641667;77000;14000;763000;;5
TK125010000030;DPE;CBHU5914130;20;D003;2025-01-23;2025-05-26;3;"23 maret 2025 - 22 april 2025";Bulanan;775000;710417;85250;15500;844750;;5
