vendor;nomor_kontainer;size;group;tanggal_awal;tanggal_akhir;periode;masa;tarif;dpp;dpp_nilai_lain;ppn;pph;grand_total;status;computed_periode
DPE;CCLU3836629;20;TK125010000001;21/01/2025;23/06/2025;1;21 januari 2025 - 20 februari 2025;Bulanan;775000;710417;85250;15500;844750;;6
DPE;CCLU3836629;20;TK125010000001;21/01/2025;23/06/2025;2;21 februari 2025 - 20 maret 2025;Bulanan;700000;641667;77000;14000;763000;;6
DPE;CCLU3836629;20;TK125010000001;21/01/2025;23/06/2025;3;21 maret 2025 - 20 april 2025;Bulanan;775000;710417;85250;15500;844750;;6
DPE;CCLU3836629;20;TK125010000001;21/01/2025;23/06/2025;4;21 april 2025 - 20 mei 2025;Bulanan;750000;687500;82500;15000;817500;;6
DPE;CCLU3836629;20;TK125010000001;21/01/2025;23/06/2025;5;21 mei 2025 - 20 juni 2025;Bulanan;775000;710417;85250;15500;844750;;6
DPE;CCLU3836629;20;TK125010000001;21/01/2025;23/06/2025;6;21 juni 2025 - 23 juni 2025;Harian;75000;68750;8250;1500;81750;;6
DPE;CBHU4077764;20;TK125010000001;21/01/2025;05/06/2025;1;21 januari 2025 - 20 februari 2025;Bulanan;775000;710417;85250;15500;844750;;5
DPE;CBHU4077764;20;TK125010000001;21/01/2025;05/06/2025;2;21 februari 2025 - 20 maret 2025;Bulanan;700000;641667;77000;14000;763000;;5
DPE;CBHU4077764;20;TK125010000001;21/01/2025;05/06/2025;3;21 maret 2025 - 20 april 2025;Bulanan;775000;710417;85250;15500;844750;;5
DPE;CBHU4077764;20;TK125010000001;21/01/2025;05/06/2025;4;21 april 2025 - 20 mei 2025;Bulanan;750000;687500;82500;15000;817500;;5
DPE;CBHU4077764;20;TK125010000001;21/01/2025;05/06/2025;5;21 mei 2025 - 5 juni 2025;Harian;400000;366667;44000;8000;436000;;5
DPE;CCLU3806500;20;TK125010000002;22/01/2025;09/04/2025;1;22 januari 2025 - 21 februari 2025;Bulanan;775000;710417;85250;15500;844750;;3
DPE;CCLU3806500;20;TK125010000002;22/01/2025;09/04/2025;2;22 februari 2025 - 21 maret 2025;Bulanan;700000;641667;77000;14000;763000;;3
DPE;CCLU3806500;20;TK125010000002;22/01/2025;09/04/2025;3;22 maret 2025 - 9 april 2025;Harian;475000;435417;52250;9500;517750;;3
DPE;DPEU4869769;20;TK125010000002;22/01/2025;08/04/2025;1;22 januari 2025 - 21 februari 2025;Bulanan;775000;710417;85250;15500;844750;;3
DPE;DPEU4869769;20;TK125010000002;22/01/2025;08/04/2025;2;22 februari 2025 - 21 maret 2025;Bulanan;700000;641667;77000;14000;763000;;3
DPE;DPEU4869769;20;TK125010000002;22/01/2025;08/04/2025;3;22 maret 2025 - 8 april 2025;Harian;450000;412500;49500;9000;490500;;3
DPE;CBHU5876322;20;TK125010000002;22/01/2025;05/06/2025;1;22 januari 2025 - 21 februari 2025;Bulanan;775000;710417;85250;15500;844750;;5
DPE;CBHU5876322;20;TK125010000002;22/01/2025;05/06/2025;2;22 februari 2025 - 21 maret 2025;Bulanan;700000;641667;77000;14000;763000;;5
DPE;CBHU5876322;20;TK125010000002;22/01/2025;05/06/2025;3;22 maret 2025 - 21 april 2025;Bulanan;775000;710417;85250;15500;844750;;5
DPE;CBHU5876322;20;TK125010000002;22/01/2025;05/06/2025;4;22 april 2025 - 21 mei 2025;Bulanan;750000;687500;82500;15000;817500;;5
DPE;CBHU5876322;20;TK125010000002;22/01/2025;05/06/2025;5;22 mei 2025 - 5 juni 2025;Harian;375000;343750;41250;7500;408750;;5
DPE;STXU2015218;20;TK125010000002;22/01/2025;26/05/2025;1;22 januari 2025 - 21 februari 2025;Bulanan;775000;710417;85250;15500;844750;;5
DPE;STXU2015218;20;TK125010000002;22/01/2025;26/05/2025;2;22 februari 2025 - 21 maret 2025;Bulanan;700000;641667;77000;14000;763000;;5
DPE;STXU2015218;20;TK125010000002;22/01/2025;26/05/2025;3;22 maret 2025 - 21 april 2025;Bulanan;775000;710417;85250;15500;844750;;5
